id,text,predicted_tag
1,"Добрый день, нас интересует разработка сайта. Уже есть ТЗ, готовы обсудить детали и бюджет. Срочно нужен сайт для запуска новой акции. Прикрепляю бриф.",Горячий
2,"Привет! Хочу узнать, сколько стоит ведение бухгалтерии для малого бизнеса. Я только планирую открыть ИП, пока просто собираю информацию. Спасибо.",Холодный
3,"Добрый день. Наша компания ищет подрядчика для интеграции ERP-системы. Просим выслать ваше коммерческое предложение. Сейчас мы рассматриваем несколько вариантов. С уважением, Алексей.",Тёплый
4,"Здравствуйте. Прошу проконсультировать по характеристикам оборудования. Не уверен, что оно нам подходит. Мы пока не готовы к покупке, просто хотим разобраться.",Холодный
5,Хотим увеличить продажи путевок. Интересует таргетированная реклама. Наш бюджет — $5000 в месяц. Готовы начать с завтрашнего дня.,Горячий
6,"Прошу выслать кейсы по разработке чат-ботов для e-commerce. Хотелось бы посмотреть примеры вашей работы, прежде чем обсуждать что-либо конкретное. Заранее спасибо!",Тёплый
7,Мы ищем партнёров для проведения PR-кампании. Какие у вас есть предложения по сотрудничеству? С кем вы уже работали? Мы собираемся запустить кампанию через 3 месяца.,Тёплый
8,Добрый день! Я представляю компанию 'Омега'. Нам срочно нужен сервер. Бюджет 50$ в месяц. Что можете предложить?,Горячий
9,"Здравствуйте! Наша компания хотела бы обучить 5 сотрудников SMM. Какова стоимость и сроки обучения? Какова гарантия трудоустройства? Это скорее всего вопрос в никуда, просто изучаю рынок.",Холодный
10,"Добрый день, нужна помощь с текстами для блога. Интересует цена за 1000 символов. Я пока не знаю, сколько мне нужно текстов, просто хочу понять ценообразование.",Тёплый
